Fecha,EnergiaCsr,EnergiaMol,UnidadesMol,EnergiaMaz,UnidadesMaz,EnergiaSop,UnidadesSop,EnergiaMsf,UnidadesMsf,Archivo_Origen
02/01/2023 00:00:00,150.99,0.0,0,0.0,0,0.0,0,150.99,3,Producción_CSR_01-01-2023.csv
01/01/2023 23:00:00,151.38,0.0,0,0.0,0,0.0,0,151.38,3,Producción_CSR_01-01-2023.csv
01/01/2023 22:00:00,204.75,0.0,0,0.0,0,0.0,0,204.75,3,Producción_CSR_01-01-2023.csv
01/01/2023 21:00:00,229.45,0.0,0,0.0,0,0.0,0,229.45,3,Producción_CSR_01-01-2023.csv
01/01/2023 20:00:00,229.62,0.0,0,0.0,0,0.0,0,229.62,3,Producción_CSR_01-01-2023.csv
01/01/2023 19:00:00,151.75,0.0,0,0.0,0,0.0,0,151.75,3,Producción_CSR_01-01-2023.csv
01/01/2023 18:00:00,20.13,0.0,0,0.0,0,0.0,0,20.13,2,Producción_CSR_01-01-2023.csv
01/01/2023 17:00:00,92.25,0.0,0,0.0,0,0.0,0,92.25,2,Producción_CSR_01-01-2023.csv
01/01/2023 16:00:00,101.52,0.0,0,0.0,0,0.0,0,101.52,2,Producción_CSR_01-01-2023.csv
01/01/2023 15:00:00,101.35,0.0,0,0.0,0,0.0,0,101.35,2,Producción_CSR_01-01-2023.csv
01/01/2023 14:00:00,101.23,0.0,0,0.0,0,0.0,0,101.23,2,Producción_CSR_01-01-2023.csv
01/01/2023 13:00:00,100.92,0.0,0,0.0,0,0.0,0,100.92,2,Producción_CSR_01-01-2023.csv
01/01/2023 12:00:00,101.13,0.0,0,0.0,0,0.0,0,101.13,2,Producción_CSR_01-01-2023.csv
01/01/2023 11:00:00,101.25,0.0,0,0.0,0,0.0,0,101.25,2,Producción_CSR_01-01-2023.csv
01/01/2023 10:00:00,37.1,0.0,0,0.0,0,0.0,0,37.1,2,Producción_CSR_01-01-2023.csv
01/01/2023 09:00:00,20.4,0.0,0,0.0,0,0.0,0,20.4,2,Producción_CSR_01-01-2023.csv
01/01/2023 08:00:00,20.38,0.0,0,0.0,0,0.0,0,20.38,2,Producción_CSR_01-01-2023.csv
01/01/2023 07:00:00,34.5,0.0,0,0.0,0,0.0,0,34.5,2,Producción_CSR_01-01-2023.csv
01/01/2023 06:00:00,81.7,0.0,0,0.0,0,0.0,0,81.7,2,Producción_CSR_01-01-2023.csv
01/01/2023 05:00:00,24.5,0.0,0,0.0,0,0.0,0,24.5,2,Producción_CSR_01-01-2023.csv
01/01/2023 04:00:00,10.0,0.0,0,0.0,0,0.0,0,10.0,1,Producción_CSR_01-01-2023.csv
01/01/2023 03:00:00,13.623793,3.503793,1,0.0,0,0.0,0,10.12,1,Producción_CSR_01-01-2023.csv
01/01/2023 02:00:00,72.877723,62.747723,2,0.0,0,0.0,0,10.13,1,Producción_CSR_01-01-2023.csv
01/01/2023 01:00:00,145.622458,103.797481,3,0.0,0,31.694977,1,10.13,1,Producción_CSR_01-01-2023.csv
02/02/2023 00:00:00,850.929423,349.603048,7,139.648883,2,211.797492,2,149.88,2,Producción_CSR_01-02-2023.csv
